-armig;-karú
abonnieren;járat (újságot)
abonnieren;előfizet
abonnieren;bérel
abordnen;kiküld
abpassen;megles
abpassen;lemér
abpflücken;leszed
abpflücken;leszakít
abplagen;agyondolgozza magát
Abprall (r);visszaverődés
abpressen;lenyom
abpressen;kicsikar
abputzen;letisztít
abräumen;letakarít
abräumen;eltakarít
abrechnen;leszámol
abrechnen;elszámol
Abrechnung (e);leszámolás
Abrede (e);megállapodás
abredeb;megállapodik
abreden;megállapodik
abreiben;lesúrol
Abreise (e);elutazás
abreisen;elutazik
abreißen;letép
abreißen;lebont
abreißen;félbeszakad
abrichten;idomít
abrichten;betanít
Abriß (r);vázlat
Abriß (r);körvonal
abrollen;leteker
abrollen;lepereg
abrollen;lejátszódik
abrunden;lekerekít
abrutschen;lecsúszik
abrücken;eltávolodik
abrücken;eltávolít
abrüsten;leszerel
Abs. (Absatz);bek. (bekezdés)
Abs. (Absender);fa. (feladó)
Absage (e);visszautasítás
Absage (e);lemondás
absagen;visszautasít
absagen;lemond
Absatz (r);megszakítás
Absatz (r);cipősarok
Absatz (r);bekezdés
abschaffen;megszüntet
abschaffen;kikapcsol
Abschaum (r);söpredék
Abschaum (r);hab
abscheiden;meghal
abscheiden;elválaszt
abscheren;megnyír
Abscheu (r)(e);utálat
Abscheu (r)(e);undor
abscheuern;lesúrol
abscheulich;utálatos
abschicken;elküld
abschieben;kiutasít
Abschied (r);búcsú
Abschied nehmen;elbúcsúzik
Abschiednehmen;búcsúvétel
abschießen;lelő
abschießen;elsüt
abschirmen;megvéd (átv.)
abschirmen;megvéd
abschirmen;felfog
Abschlag (r);elutasítás
Abschlag (r);csökkentés
abschlagen;visszautasít
abschlagen;levon
abschlagen;elhárít
abschlägig;elutasító
abschleifen;lecsiszol
abschließen;bezár
abschließen;befejez
Abschluß (r);befejezés
abschmelzen;kiolvaszt
abschmelzen;kiolvad
abschneiden;levág
Abschnitt (r);szelet
Abschnitt (r);szakasz
Abschnitt (r);fejezet
abschrauben;lecsavar
abschrecken;elijeszt
abschreiben;lemásol
abschreiben;leír
Abschrift (e);másolat
abschüssig;meredek
abschüssig;lejtős
abschütteln;leráz
abschwächen;legyengít
abschwächen;enyhít
abschwächen;csökkent
abschweifen;elkalandozik
abschwenken;lekanyarodik
absegeln;elvitorlázik
absehbar;előrelátható
absehen;eltanul
absehen;előrelát
abseits von;távol vmitől
abseits von;félre
abseits von +D;távol vmitől
abseits von +D;félre
absenden;felad
absenden;elküld
Absender (r);feladó
absetzen;megfoszt hivatalától
absetzen;letesz
absetzen;elad
Absicht (e);szándék
absichtlich;szándékos
absinken;lesüllyed
absinken;alámerül
absolvieren;elvégez
absolvieren;befejez
absondern;elkülönít
absparen;megtakarít
absperren;lezár
abspiegeln;visszatükröz
abspielen;eljátszik
abspielen s.;lejátszódik
absplittern;leforgácsolódik
absplittern;leforgácsol
absprechen;megbeszél
absprechen;kétségbe von
absprechen;egyeztet
abspringen;leugrik
abspringen;lepattog
abspülen;leöblít
abstammen;származik
abstammen;ered
Abstammung (e);leszármazás
Abstammung (e);eredet
Abstand (r);távolság
Abstand gewinnen von jm.;eltávolodik vkitől
abstatten;teljesít
abstauben;letörölget
abstauben;leporol
abstechen;leszúr
abstechen;különbözik
abstechen;elüt
Abstecher (r);kerülő
abstecken;kitűz
abstecken;kitüz
abstecken;kijelöl
abstehen;távoláll
abstehen;eláll
abstehlen;ellop
absteigen;megszáll vhol
absteigen;leszáll
abstellen;megszüntet
abstellen;eltesz
Abstellraum (r);tárolóhelyiség
Abstellraum (r);raktár
abstempeln;lepecsétel
absterben;elsorvad
absterben;elhal
Abstieg (r);leszállás
Abstieg (r);hanyatlás
abstimmen;összehangol
Abstinenzler (r);antialkoholista
Abstoß (r);kapukirúgás
abstoßen;visszataszít
abstoßen;eltaszít
abstoßen;ellök
abstoßend;visszataszító
abstrakt;elvont
abstrakt;absztrakt
abstreichen;letöröl
abstreichen;lesimít
abstreiten;letagad
abströmen;lefolyik
abstumpfen;eltompul
abstumpfen;eltompít
abstumpfen;elfásul
Absturz (r);zuhanás
Absturz (r);szakadék
Absturz (r);bukás
absturzen;letaszít
absturzen;ledönt
abstürzen;lezuhan
abstürzen;lebukik
absuchen;átkutat
absurd;képtelen
absurd;abszurd
Abt. (Abteilung);oszt. (osztály)
abtasten;végigtapogat
abtasten;letapogat
Abteil;szakasz
Abteil;fülke
Abteil (s);szakasz
Abteil (s);fülke
abteilen;elválaszt
abteilen;beoszt
Abteilung (e);szakasz (kat.)
Abteilung (e);osztály (áruházi
Abteilung (e);kórházi)
Abteilung (e);elválasztás
Abteilung (e);csoport
Abteilung (e);beosztás
abtippen;legépel
abtöten;elfojt
abtragen;törleszt
abtragen;lehord
abtragen;lebont
abtransportieren;elszállít
abtreiben;eltér
abtreiben;elsodródik
abtreiben;elkerget
abtreiben;elhajt
abtrennen;lefejt
abtrennen;elválaszt
abtreten;távozik
abtreten;letapos
abtreten;átruház
abtreten;átenged
Abtritt (r);távozás
Abtritt (r);lelépés
abtrocknen;megszárít
abtrocknen;elszárad
abtrocknen s.;megtörülközik
abtrocknen s.;megtörölközik
abtropfen;lecsepeg
abtrünnig;hűtlen
abtrünnig;hütlen
abtrünnig;hitehagyott
abtrünnig werden;elpártol
abtun;letesz
abtun;elvégez
Abverb;határozószó
Abverb (s);határozószó
abwandern;kivándorol
abwarten;kivár
abwartende Haltung;várakozó álláspont
abwaschbar;lemosható
abwaschen;lemos
abwaschen s.;lemosakszik
Abwaschwasser;mosogatóvíz
abwägen;mérlegel
abwägen;megmér
abwälzen;legördít
abwälzen;áthárít
abwärts;lefelé
abwechlungsreich;változatos
abwechseln;felvált
Abweg (r);tévút
Abweg (r);mellékút
Abwehr (e);védelem
abwehren;visszautasít
abweichen;leáztat
abweichen;különbözik
abweichen;eltér
abweisen;visszutasít
abweisen;elvet (nem fogad el)
abwenden;megakadályoz
abwenden;elfordít
abwenden s.;elfordul
abwerfen;ledob
abwerfen;jövedelmez
abwerten;leértékel
abwesend;távollevő
abwesend;szórakozott
Abwesende (r)(e);hiányzó
Abwesenheit (e);távollét
abwickeln;lebonyolít
abwickeln s.;lejátszódik
abwischen;letöröl
abzapfen;megcsapol
abzapfen;lecsapol
abzählen;megszámol
abzählen;leszámol
abzehren;elsorvaszt
abzehren s.;elsorvad
Abzeichen;jelvény
Abzeichen (s);jelvény
abzeichnen;lerajzol
abziehen;lehúz
abziehen;kivon
abziehen;elvonul
abziehen;elköltözik
abzielen;céloz
abzielen;célba vesz
Abzug (r);levonás
Abzug (r);lefolyás
Abzug (r);elköltözés
abzupfen;letép
abzupfen;lecsíp
abzweigen;elágazik
abzwingen;kicsikar
ach;ó
ach;jaj
ach;ah
ach meine Güte !;szent ég !
ach meine Güte!;szent ég!
ach wo !;dehogy is !
ach woher denn !;dehogy !
ach woher denn !;á, dehogy !
ach woher denn !;á
ach woher denn!;á, dehogy!
ach woher denn!;á!
Achse (e);tengely
Achsel (e);váll
Achselhöhle (e);hónlaj
Achselzucken;vállrándítás
Achselzucken (s);vállrándítás
acht;nyolc
Acht (e);vigyázat
Acht (e);nyolcas (szám)
Acht (e);figyelem
acht weniger fünf ist drei;nyolc mínusz öt az három
achte;nyolcadik
Achtei (r)(s);nyolcadrész
achten;tisztel
achten;figyel
achten;becsül
achtens;nyolcadszor
achtenswert;tiszteletreméltó
Achter (r);nyolcas
Achterbahn (e);hullámvasút
achterlei;nyolcféle
Achterschiff;hajófar
Achterschiff (s);hajófar
achtgeben;vigyáz
achtgeben;ügyel
achthundert;nyolcszáz
achtjärig;nyolcéves
achtlos;gondatlan
achtmal;nyolcszor
achtmonatig;nyolchónapos
achtsam;gondos
achtsam;figyelmes
achtseitig;nyolcoldalas
achtstellig;nyolcjegyű
achtstellig;nyolcjegyü
achtstündig;nyolcórás
achttausend;nyolcezer
Achtung (e);vigyázat
Achtung (e);tisztelet
Achtung (e);figyelem
achtungsvoll;tiszteletteljes
achtzehn;tizennyolc
achtzehnjährig;tizennyolc éves
achtzig;nyolcvan
achtzigste;nyolcvanadik
Acker (r);szántóföld
Ackerbau (r);földmüvelés
Ackerbauer (r);földmüves
Ackerweg (r);dülőút
addieren;összead
Adel (r);nemesség
adelig;nemesi
adelig;nemes
Ader (e);véredény
aderig;erezett
aderig;eres
Adjektiv;melléknév
Adjektiv (s);melléknév
Adler (r);sas
adlig;nemesi
adlig;nemes
administrieren;adminisztrál
Admiral (r);admirális
adoptieren;örökbe fogad
adoptieren;adoptál
Adressant (r);feladó
Adressat (r);címzett
Adresse (e);cím
adressieren;megcímez
Advokat (r);ügyvéd
Aeroplan (r);repülőgép
Affäre (e);ügy
Affäre (e);eset
Affe (r);majom
Affekt (r);indulat
affektieren;kényeskedik
affektieren;kelleti magát
affektieren;affektál
Afrika;Afrika
Afrikaner (r);afrikai (ember)
afrikanisch;afrikai
After (r);végbélnyílás
Afterdarm (r);végbél
Aftermiete (e);albérlet
Ag. (Arbeitsgemeinsaft);munkaközösség
Agent (r);ügynök
Agentur (e);ügynökség
agil;agilis
Agitation (e);agitáció
Agitator (r);agitátor
agitieren;agitál
Agram;Zágráb
agrarisch;mezőgazdasági
agrarisch;agrár
agressiv;agresszív
Agrikultur (e);mezőgazdaság
Agrikultur (e);földmüvelés
Agronom (r);agronómus
Ahle (e);ár (szerszám)
Ahn (r);ősapa
ahnen;sejt
ahnen;gyanít
Ahnfrau (e);ősanya
Ahnung (e);sejtelem
ahnungslos;mit sem sejtő
ahnungslos;gyanútlan
ahnungsvoll;sejtelmes
Ahorn (r);juhar
Akademie (e);akadémia
Akazie (e);akác
akkumulieren;akkumulál
Akt (r);cselekedet
Akt (r);felvonás
Akt (r);akt
Akte (e);irat
Akte (e);akta
Aktemappe (e);irattáska
Aktemappe (e);dosszié
Aktentasche (e);aktatáska
Aktie (e);részvény
Aktion (e);akció
Aktionär (r);részvényes
Aktiv;cselkvő mód (nyelvt)
aktiv;aktív
Aktiv (s);cselkvő mód (nyelvt)
Aktivist (r);aktivista
Aktivität (e);aktivitás
Aktsluß (r);felvonásvég
aktuell;aktuális
Akzent (r);hangsúly
Akzent (r);akcentus
akzeptieren;elismer
akzeptieren;ekfogad
Alabaster (r);alabástrom
Alarm (r);riadó
alarmieren;felriaszt
Alaun (r);timsó
Albaner (r);albán (ember)
albanesisch;albán
Albanien;Albánia
albanisch;albán
albern;együgyű
albern;ostoba
albern;együgyü
Album;album
Album (s);album
Alexander;Sándor
Algebra (e);algebra
Algerien;Algéria
Algerier (r);algériai (ember)
algerisch;algériai
Alibi;alibi
Alibi (s);alibi
Alkohol (r);alkohol
alkoholfrei;alkoholmentes
alkoholhaltig;alkoholtartalmú
alkoholisch;alkoholtartalmú
Alkoholverbot;alkoholtilalom
All;világegyetem
all;teljes
All;mindenség
all;minden
All (s);világegyetem
All (s);mindenség
allbekannt;közismert
allbeliebt;közkedvelt
alle acht Tage;hetenként
alle außer dir;rajtad kívül mindenki
alle Male;mindig
alle Male;minden alkalommal
alle Mann an Bord;mindenki a fedélzetre
alle Menschen;mindenki
alle Menschen;minden ember
alle Tage;mindennap
alle Welt;mindenki
alle zehne;mind a tíz
alledem;mindamellett
Allee (e);fasor
allein;egyedül
Alleinhandel (r);monopólium
Alleinhandel (r);egyedárusítás
alleinig;kizárólagos
alleinig;egyedüli
allem Anschein nach;minden valószínűség szerint
allem Anschein nach;minden valószínüség szerint
allemal;mindig
allen Wünschen gerecht werden;minden kívánságnak eleget tesz
allenfalls;mindenestre
allenthalben;mindenütt
allerbest;legeslegjobb
allerdings;valóban
allerdings;persze
allerdings;kétségtelenül
allererst;legeslegelőször
allergrößt;legeslegnagyobb
allerhand;mindenféle
allerhöchst;legeslegmagasabb
allerlei;mindenféle
allerletzt;legeslegutolsó
allerliebst;igen kedves
allermeinst;legesleginkább
allernächst;legeslegközelebbi
allerseits;mindenfelől
alles;teljes
alles;minden
alles andere;minden egyéb
alles daran setzen;mindent belead
alles das gilt nichts;mindez nem számít
alles eins;mindegy
alles für die Katze;minden hiába van
alles in allem;mindent egybevéve
alles, was ist;minden
alles, was ist;minden, ami van
alles, was ist;ami van
allgemein;általános
Allgemeinbefinden;közérzet
allgemeingültig;általános érvényű
allgemeingültig;általános érvényü
allgemeint bekannt;köztudomású
allgewaltig;mindenható
Allheit (e);összesség
Allheit (e);mindenség
Allianz (e);szövetség
Allierte (r);szövetséges
alljährlich;évente
allmächtig;mindenható
allmählich;fokozatosan
allnächtlich;éjjelente
allseitig;sokoldalú
allseitig;általános
allstündlich;óránként
Alltag (r);hétköznap
Alltagsleben;mindennapi élet
Alltagsleben (s);mindennapi élet
alltäglich;megszokott
alltäglich;hétköznapi
allviel;túl sok
allwissend;mindentudó
allwöchentlich;hetente
allzu;túlzott
allzu;túlságos
allzuviel;túl sok
allzuviel ist ungesund;jóból is megárt a sok
Alm (e);alpesi legelő
Almossen;alamizsna
Almossen (s);alamizsna
Alois;Alajos
Alpen;Alpok
Alpenveilchen;ciklámen
Alphabet;ábécé
Alphabet (s);ábécé
alphabetisch;betűrendes
alphabetisch;betürendes
Alpinismus (r);alpinizmus
als;mint
als;amikor
als ob;mintha
als ob/wenn;mintha
als sie ihn zu sehen bekam;amikor meglátta
alsbald;csakhamar
also;tehát
also;szóval
also;így
alt;öreg
alt;régi
alt;ócska
alt werden;megöregszik
Altar (r);oltár
Altbau (r);régi épület
altbewährt;jól bevált
altdeutsch;ónémet
Alte (e);öregasszony
Alte (r);öregember
Alter;öregség
Alter;korszak
Alter;életkor
Alter (s);öregség
Alter (s);korszak
Alter (s);életkor
altern;vénül
altern;öregszik
Altersheim;szociális otthon
Altersheim (s);szociális otthon
Altertum;régiség
Altertum;ókor
Altertum (s);régiség
Altertum (s);ókor
altertümlich;régies
altertümlich;ódon
altes Eisen;ócskavas
Alteseisen;ócskavas
Alteseisen (s);ócskavas
althochdeutsch;ófelnémet
altklug;koravén
altmodisch;maradi
altmodisch;ódivatú
altmodisch;elavult
Altstadt (e);óváros
altväterisch;régimódi
altväterisch;ódivatú
am allerwenigsten;legkevésbé
am frühen Morgen;korán reggel
am heutigen Tage;a mai napon
am laufenden Band;futószalagon
am längesten;legtovább
am längesten;legrégebben
am meisten;leginkább
am meisten;legjobban
am meisten;legtöbbet
am meisten;legerősebben
am wenigsten;legevésbé
Amateur (r);amatőr
Ambition (e);becsvágy
Ambition (e);ambíció
Amboß (r);üllő
ambulant;ambuláns
Ambulanz (e);mentőkocsi
Ambulanz (e);ambulancia
Ambulatorium;ambulancia
Ambulatorium (s);ambulancia
Ameise (e);hangya
Amerika;Amerika
Amerikaner (r);amerikai (ember)
amerikanisch;amerikai
amgrößten ist etw., wenn ...;vmi akkor a legnagyobb
amgrößten ist etw., wenn ...;vmi akkor a legnagyobb, ha ...
amgrößten ist etw., wenn ...;ha ...
Amme (e);dajka
Ampel (e);közlekedési lámpa
Ampfer (r);sóska
Amsel (e);feketerigó
Amt;telefonközpont
Amt;vonal (tel.)
Amt;hivatal
Amt (s);telefonközpont
Amt (s);vonal (tel.)
Amt (s);hivatal
amtlich;hivatalos
Amtsarzt (r);tisztiorvos
Amtssitz (r);hivatali székhely
amüsant;szórakoztató
amüsieren;szórakoztat
amüsieren s.;szórakozik
an;-nak
an;-ön
an;-on
an;-höz
an;-re
an;-ra
an;-hez
an;-hoz
an;-en
an +A;-nak,-nek
an +A;-ra,-re
an +A;-hoz,-hez,-höz
an +D;-on,-en,-ön
an Boden gewinnen;tért hódít
an Bord bringen;behajóz
an Bord gehen;hajóra száll
an den Haaren herbeizogen;erőltetett
an der prallen Sonne;a tűző napon
an der prallen Sonne;a tüző napon
an der Reihe sein;(soron) következik
an die Arbeit gehen;munkához lát
an die Reihe kommen;sorra kerül
an eine neue Sache herantreten;új dologba kezd
an einer Sache auszusetzen haben;vmi kifogásolnivalója van vmin
an etw. Anstoß nehmen;mmegbotránkozik vmin
an etw. Anstoß nehmen;megbotránkozik vmin
an etw. glauben;hisz vmiben
an etw. hin;vmi mentén
an etw. lebhafen Anteil nehmen;érdeklődik vmi iránt
an etw. leiden;szenved vmiben
an etw. schuld haben;vminek az oka
an etw. schuld sein;vminek az oka
an etw. weiden sich;gyönyörködik vmiben
an etw. zehren;rágódik vmin
an Hand genauer Daten;pontos adatok alapján
an ihm vorbei;mellette el
an ihn ist Hopfen und Malz verloren;reménytelen eset
an ihr;rajta
an jm. Rache nehmen;bosszút áll vkin
an jn. mit einer Bitte herantreten;kéréssel fordul vkihez
an mir soll es nicht mangeln;rajtam ne múljon
an Ort und Stelle;helyben
an Ort und Stelle;a helyszínen
an und für sich;tulajdonképpen
an und für sich;lényegében
an wen schreibst du ?;kinek írsz ?
an wen schreibst du?;kinek írsz?
Analgetika (e);fájdalomcsillapító
Anarchist (r);anarchista
Anatomie (e);bonctan
Anatomie (e);anatómia
anbahnen;vminek útját egyengeti
anbandeln;kikezd vkivel
Anbau (r);vetés
anbehalten;magán tart (nem vet le)
anbei;mellékelve
anbei;csatolva
anbeißen;beleharap
anbelangen;illet vkit/vmit
anberaumen;kitűz (időpontot)
anberaumen;kitüz (időpontot)
anbeten;imád
anbetreffen;illet
anbetreffs;vonatkozóan
anbieten;kínál
anbieten;ajánl
anbinden;odakötöz
anbinden;kapcsolatot létesít
Anblick (r);látvány
anblicken;rátekint
anbohren;megfúr
anbrechen;kezdődik
anbrechen;megreped
anbrechen;feltör
anbrennen;odaéget
anbrennen;odaég
anbrennen;meggyújt
anbringen;túlad vmin/vkin
anbringen;felerősít
anbringen;elhelyez
Anbruch (r);kezdet
anbrüllen;ráordít
Andacht (e);áhítat
andauern;tovább tart
andauern;tartós
andauern;eltart
andächtig;áhítatos
Andenken;emléktárgy
Andenken (s);emléktárgy
andere;másik
anderen Sinnes werden;más nézetre jut
anders;valami más
anders;másként
anderseits;másrészt
anderswie;másképpen
anderswo;máshol
anderthalb;másfél
andeuten;sejtet
Andrang (r);tolongás
andrängen;odaszorít
andrängen s.;odatolakodik
andringlich;tolakodó
andringlich;sürgető
androhen;megfenyeget
andrücken;rányom
aneignen;eltulajdonít
aneinander;össze
aneinander;egymáshoz
anempfehlen;javasol
anempfehlen;beajánl
anerbieten (s.);ajánlkozik
anerkennen;elismer
Anerkennung (e);elismerés
Anerkennung finden;elismerésben részesül
Anerkennung finden;elisemrést kap
anfahren;elindul  (jármű)
anfahren;megérkezik  (jármű)
anfahren;megérkezik  (jármü)
anfahren;rátámad
anfahren;odaszállít
anfahren;elindul  (jármü)
Anfahrt (e);megközelítés  (jármüvel)
Anfahrt (e);kikötőhely
Anfall (r);támadás
Anfall (r);roham
anfallen;megtámad
anfallen;megrohan
Anfang (r);kezdet
anfangen;elkezd
anfangs;kezdetben
anfangs;eleinte
anfassen;megfog
anfällig gegenüber;hajlamos vmire
Anfänger (r);kezdő
anfechtbar;megtámadható
anfertigen;megcsinál
anfertigen;elkészít
anfeuchten;megnedvesít
anflehen;könyörög
anflehen;kérlel
Anflug (r);odarepülés
Anflug (r);indulás (rep.)
anfordern;kér
anfordern;igényel
Anforderung (e);követelmény
Anfrage (e);kérdezősködés
Anfrage (e);kérdés
Anfrage (e);érdelklődés
anfragen nach;tudakozódik vmiről
anfragen nach;kérdezősködik
anfragen nach;érdeklődik
anfragen nach +D;tudakozódik vmiről
anfragen nach +D;kérdezősködik
anfragen nach +D;érdeklődik
anfreunden (s.);megbarátkozik
anfügen;hozzátesz
anfügen;mellékel
anfügen;csatol
anfühlen;vkin vmit megérez
anfühlen;megtapint
anführen;idéz
anführen;vezet
anführen;említ
Anführungszeichen;idézőjel
Angabe (e);közlés
Angabe (e);utasítás
Angabe (e);adat
angeben;feljelent
angeben;henceg
angeben;állít
angeblich;állítólag
angeboren;veleszületett
Angebot;ajánlat
Angebot (s);ajánlat
angebracht;helyénvaló
angeheitert;spicces
angeheitert;pityókás
angehen;megtámad
angehen;megkezdődik
angehören;hozzátartozik
Angel (e);horog
angelangen;megérkezik
angelegen;szomszédos
angelegen;fontos
angeln;horgászik
angelsächisch;angolszász
angemessen;megfelelő
angemessen;illő
angemessen;alkalmas
angenehm;kellemes
angesehen;tisztelt
angesehen;tekintélyes
angesen dass...;tekintve, hogy ...
angesen dass...;tekintve
angesen dass...;hogy...
angesen daß...;tekintve,hogy...
angesen daß...;tekintve, hogy...
angesessen;letelepedett
Angesicht;látomás
Angesicht;arc
Angesicht (s);látomás
Angesicht (s);arc
angesichts;tekintettel vmire
angespannt;megfeszített
angewandt;alkalmazott
angewandte Kunst;iparművészet
angewandte Kunst;iparmüvészet
angewiesenuf;vmire rászoruló
angewöhnen;rászoktat vmire
angleichen;hasonlóvá tesz
angleichen s.;hasonul
angliedern;hozzácsatol
angliedern;bekebelez
angreifen;megtámad
angreifen;megkezd
angreifen;megfog
Angreifer (r);támadó
angrenzen;határos
Angriff (r);támadás
Angriff (r);megfogás
Angriff (r);hozzákezdés
Angst (e);félelem
